"RvNumber"	"Mtnumber"	"Gene_Symbol"	"Gene_Description"
"Rv2086"	NA	"Rv2086"	"putative transposase"
"Rv2087"	"MT2148"	"Rv2087"	"putative transposase"
"Rv2088"	"MT2149"	"pknJ"	"serine-threonine protein kinase"
"Rv2089c"	"MT2150"	"pepE"	"cytoplasmic peptidase"
"Rv2090"	NA	"Rv2090"	"partially similar to DNA polymerase I"
"Rv2091c"	"MT2152"	"Rv2091c"	"potential transmembrane region"
"Rv2092c"	"MT2153"	"helY"	"probable helicase, Ski2 subfamily"
"Rv2093c"	"MT2154"	"Rv2093c"	"membrane protein"
"Rv2094c"	"MT2155"	"Rv2094c"	"conserved hypothetical protein"
"Rv2095c"	"MT2156"	"Rv2095c"	"conserved hypothetical protein"
"Rv2096c"	"MT2157"	"Rv2096c"	"conserved hypothetical protein"
"Rv2097c"	"MT2158"	"Rv2097c"	"conserved hypothetical protein"
"Rv2098c"	"MT2159"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv2099c"	"MT2159"	"PE"	"PE_PGRS-family protein"
"Rv2100"	"MT2160"	"Rv2100"	"conserved hypothetical protein"
"Rv2101"	"MT2161"	"helZ"	"probable helicase, Snf2/Rad54 family"
"Rv2102"	"MT2162"	"Rv2102"	"conserved hypothetical protein"
"Rv2103c"	"MT2163"	"Rv2103c"	"conserved hypothetical protein"
"Rv2104c"	"MT2164"	"Rv2104c"	"conserved hypothetical protein"
"Rv2105"	NA	"Rv2105"	"possible IS6110 transposase"
"Rv2106"	"MT2881"	"Rv2106"	"possible IS6110 transposase"
"Rv2107"	"MT2166"	"PE"	"PE-family protein"
"Rv2108"	"MT2167"	"PPE"	"PPE-family protein"
"Rv2109c"	"MT2169"	"prcA"	"proteasome [alpha]-type subunit 1"
"Rv2110c"	"MT2170"	"prcB"	"proteasome [beta]-type subunit 2"
"Rv2111c"	"MT2171"	"Rv2111c"	"conserved hypothetical protein"
"Rv2112c"	NA	"Rv2112c"	"conserved hypothetical protein"
"Rv2113"	"MT2173"	"Rv2113"	"possible integral membrane protein"
"Rv2114"	"MT2174"	"Rv2114"	"hypothetical protein"
"Rv2115c"	"MT2175"	"Rv2115c"	"ATPase of AAA-family"
"Rv2116"	"MT2176"	"lppK"	"lipoprotein"
"Rv2117"	"MT2177"	"Rv2117"	"conserved hypothetical protein"
"Rv2118c"	"MT2178"	"Rv2118c"	"conserved hypothetical protein"
"Rv2119"	"MT2179"	"Rv2119"	"conserved hypothetical protein"
"Rv2120c"	"MT2180"	"Rv2120c"	"hypothetical protein"
"Rv2121c"	"MT2181"	"hisG"	"ATP phosphoribosyltransferase"
"Rv2122c"	"MT2182"	"hisI"	"phosphoribosyl-AMP cyclohydrolase"
"Rv2123;Rv2123"	NA	NA	NA
"Rv2124c;Rv2124c"	NA	NA	NA
"Rv2125"	"MT2184"	"Rv2125"	"conserved hypothetical protein"
"Rv2126c"	NA	"PE_PGRS"	"PE_PGRS-family protein"
"Rv2127"	"MT2186"	"ansP"	"L-asparagine permease"
"Rv2128"	NA	"Rv2128"	"hypothetical protein"
"Rv2129c"	NA	"Rv2129c"	"putative oxidoreductase"
"Rv2130c"	"MT2188"	"cysS2"	"cysteinyl-tRNA synthase"
"Rv2131c"	"MT2189"	"cysQ"	"homologue of M.leprae cysQ"
"Rv2132"	"MT2190"	"Rv2132"	"conserved hypothetical protein"
"Rv2133c"	"MT2191"	"Rv2133c"	"conserved hypothetical protein"
"Rv2134c"	"MT2192"	"Rv2134c"	"conserved hypothetical protein"
"Rv2135c"	"MT2193"	"Rv2135c"	"conserved hypothetical protein"
"Rv2136c"	"MT2194"	"Rv2136c"	"putative bacitracin resistance protein"
"Rv2137c"	"MT2195"	"Rv2137c"	"conserved hypothetical protein"
"Rv2138"	"MT2196"	"lppL"	"lipoprotein"
"Rv2139"	"MT2197"	"pyrD"	"dihydroorotate dehydrogenase"
"Rv2140c"	"MT2198"	"Rv2140c"	"conserved hypothetical protein"
"Rv2141c"	"MT2199"	"dapE2"	"ArgE/DapE/Acy1/Cpg2/yscS family"
"Rv2142c"	"MT2200"	"Rv2142c"	"hypothetical protein"
"Rv2143"	"MT2202"	"Rv2143"	"conserved hypothetical protein"
"Rv2144c"	"MT2203"	"Rv2144c"	"probable transmembrane protein"
"Rv2145c"	"MT2204"	"wag31"	"antigen 84 (aka wag31)"
"Rv2146c"	NA	"Rv2146c"	"hypothetical protein"
"Rv2147c"	"MT2206"	"Rv2147c"	"hypothetical protein"
"Rv2148c"	"MT2207"	"Rv2148c"	"conserved hypothetical protein"
"Rv2149c"	"MT2208"	"yfiH"	"YFIH_STRGR P45496"
"Rv2150c"	"MT2209"	"ftsZ"	"circumferential ring, GTPase"
"Rv2151c"	"MT2210"	"ftsQ"	"ingrowth of wall at septum"
"Rv2152c"	"MT2211"	"murC"	"UDP-N-acetyl-muramate-alanine ligase"
"Rv2153c"	"MT2212"	"murG"	"transferase in peptidoglycan synthesis"
"Rv2154c"	"MT2213"	"ftsW"	"membrane protein (shape determination)"
"Rv2155c"	"MT2214"	"murD"	"UDP-N-acetylmuramoylalanine-D-glutamate ligase"
"Rv2156c"	"MT2215"	"murX"	"phospho-N-acetylmuramoyl-pentapeptide transferase"
"Rv2157c"	"MT2216"	"murF"	"D-alanine:D-alanine-adding enzyme"
"Rv2158c"	"MT2217"	"murE"	"meso-diaminopimelate-adding enzyme"
"Rv2159c"	"MT2218"	"Rv2159c"	"hypothetical protein"
"Rv2160c"	"MT2218.1"	"Rv2160c"	"hypothetical protein"
"Rv2161c"	"MT2219"	"Rv2161c"	"similar to alkanal monooxygenase beta chain"
"Rv2162c"	"MT2220"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv2163c"	"MT2221"	"pbpB"	"penicillin-binding protein 2"
"Rv2164c"	"MT2222"	"Rv2164c"	"hypothetical protein"
"Rv2165c"	"MT2223"	"Rv2165c"	"conserved hypothetical protein"
"Rv2166c"	NA	"Rv2166c"	"conserved hypothetical protein"
"Rv2167c"	"MT2881"	"Rv2167c"	"possible IS6110 transposase"
"Rv2168c"	NA	"Rv2168c"	"possible IS6110 transposase"
"Rv2169c"	"MT2225"	"Rv2169c"	"hypothetical protein"
"Rv2170"	"MT2226"	"Rv2170"	"hypothetical protein"
"Rv2171"	"MT2227"	"lppM"	"probable lipoprotein"
"Rv2172c"	"MT2228"	"Rv2172c"	"hypothetical protein"
"Rv2173"	"MT2229"	"idsA2"	"geranylgeranyl pyrophosphate synthase"
"Rv2174"	"MT2230"	"Rv2174"	"probable membrane protein"
"Rv2175c"	"MT2231"	"Rv2175c"	"putative transcriptional regulator"
"Rv2176"	"MT2232"	"pknL"	"serine-threonine protein kinase, truncated"
"Rv2177c"	"MT2233"	"Rv2177c"	"hypothetical protein"
"Rv2178c"	"MT2234"	"aroG"	"DAHP synthase"
"Rv2179c"	"MT2234.1"	"Rv2179c"	"hypothetical protein"
"Rv2180c"	"MT2235"	"Rv2180c"	"probable integral membrane protein"
"Rv2181"	"MT2236"	"Rv2181"	"probable integral membranemem protein"
"Rv2182c"	"MT2237"	"Rv2182c"	"conserved hypothetical protein"
"Rv2183c"	NA	"Rv2183c"	"hypothetical protein"
"Rv2184c"	NA	"Rv2184c"	"conserved hypothetical protein"
"Rv2185c"	"MT2240"	"Rv2185c"	"conserved hypothetical protein"
"Rv2186c"	NA	"Rv2186c"	"conserved hypothetical protein"
"Rv2187"	"MT2242"	"fadD15"	"acyl-CoA synthase"
"Rv2188c"	"MT2243"	"Rv2188c"	"conserved hypothetical protein"
"Rv2189c"	"MT2244"	"Rv2189c"	"hypothetical protein"
"Rv2190c"	"MT2245"	"Rv2190c"	"putative p60 homologue"
"Rv2191"	"MT2247"	"Rv2191"	"similar to both PolC and UvrC proteins"
"Rv2192c"	"MT2248"	"trpD"	"anthranilate phosphoribosyltransferase"
"Rv2193"	"MT2249"	"ctaE"	"cytochrome c oxidase polypeptide III"
"Rv2194"	"MT2250"	"qcrC"	"cytochrome b/c component of ubiQ-cytB reductase"
"Rv2195"	"MT2251"	"qcrA"	"Rieske iron-sulphur component of ubiQ-cytB"
"Rv2196"	"MT2252"	"qcrB"	"cytochrome b component of ubiQ-cytB reductase"
"Rv2197c"	"MT2253"	"Rv2197c"	"hypothetical protein"
"Rv2198c"	NA	"mmpS3"	"conserved small membrane protein"
"Rv2199c"	NA	"Rv2199c"	"possible membrane protein"
"Rv2200c"	"MT2256"	"ctaC"	"cytochrome c oxidase chain II"
"Rv2201"	"MT2257"	"asnB"	"asparagine synthase B"
"Rv2202c"	"MT2258"	"cbhK"	"carbohydrate kinase"
"Rv2203"	"MT2259"	"Rv2203"	"hypothetical protein"
"Rv2204c"	"MT2260"	"Rv2204c"	"conserved hypothetical protein"
"Rv2205c"	NA	"Rv2205c"	"conserved hypothetical protein"
"Rv2206"	"MT2262"	"Rv2206"	"hypothetical protein"
"Rv2207"	"MT2263"	"cobT"	"nicotinate-nucleotide-dimethylbenzimidazole"
"Rv2208"	"MT2264"	"cobS"	"cobalamin (5 -phosphate) synthase"
"Rv2209"	"MT2265"	"Rv2209"	"probable drug efflux protein"
"Rv2210c"	"MT2266"	"ilvE"	"branched-chain-amino-acid transaminase"
"Rv2211c"	"MT2267"	"gcvT"	"T protein of glycine cleavage system"
"Rv2212"	"MT2268"	"Rv2212"	"conserved hypothetical protein"
"Rv2213"	"MT2269"	"pepB"	"aminopeptidase A/I"
"Rv2214c"	"MT2270"	"ephD"	"probable epoxide hydrolase"
"Rv2215"	"MT2272"	"sucB"	"dihydrolipoamide succinyltransferase"
"Rv2216"	"MT2273"	"Rv2216"	"conserved hypothetical protein"
"Rv2217"	"MT2274"	"lipB"	"lipoate biosynthesis protein B"
"Rv2218"	"MT2275"	"lipA"	"lipoate biosynthesis protein A"
"Rv2219"	"MT2276"	"Rv2219"	"hypothetical protein"
"Rv2220"	"MT2278"	"glnA1"	"glutamine synthase class I"
"Rv2221c"	"MT2279"	"glnE"	"glutamate-ammonia-ligase adenyltransferase"
"Rv2222c"	"MT2280"	"glnA2"	"glutamine synthase class II"
"Rv2223c"	"MT2281"	"Rv2223c"	"probable exported protease"
"Rv2224c"	"MT2282"	"Rv2224c"	"probable exported protease"
"Rv2225"	"MT2284"	"panB"	"3-methyl-2-oxobutanoate hydroxymethyltransferase"
"Rv2226"	"MT2285"	"Rv2226"	"hypothetical protein"
"Rv2227;Rv2227;Rv2227"	NA	NA	NA
"Rv2228c"	"MT2287"	"Rv2228c"	"hypothetical protein"
"Rv2229c"	"MT2289"	"Rv2229c"	"hypothetical protein"
"Rv2230c"	"MT2289"	"Rv2230c"	"conserved hypothetical protein"
"Rv2231c"	"MT2290"	"cobC"	"aminotransferase"
"Rv2232;Rv2232"	NA	NA	NA
"Rv2233"	NA	"Rv2233"	"conserved hypothetical protein"
"Rv2234"	"MT2293"	"ptpA"	"low molecular weight protein-tyrosine-phosphatase"
"Rv2235"	"MT2294"	"Rv2235"	"hypothetical protein"
"Rv2236c"	"MT2295"	"cobD"	"cobinamide synthase"
"Rv2237"	"MT2296"	"Rv2237"	"conserved hypothetical protein"
"Rv2238c"	"MT2298"	"ahpE"	"member of AhpC/TSA family"
"Rv2239c"	"MT2299"	"Rv2239c"	"hypothetical protein"
"Rv2240c"	"MT2300"	"Rv2240c"	"conserved hypothetical protein"
"Rv2241"	"MT2301"	"aceE"	"pyruvate dehydrogenase E1 component"
"Rv2242"	"MT2302"	"Rv2242"	"hypothetical protein"
"Rv2243"	NA	"fabD"	"malonyl CoA-[ACP] transacylase"
"Rv2244"	"MT2304"	"acpM"	"acyl carrier protein (meromycolate extension)"
"Rv2245"	"MT2305"	"kasA"	"[beta]-ketoacyl-ACP synthase (meromycolate"
"Rv2246;Rv2246"	NA	NA	NA
"Rv2247"	"MT2307"	"accD6"	"acetyl/propionyl CoA carboxylase [beta] subunit"
"Rv2248"	"MT2308"	"Rv2248"	"conserved hypothetical protein"
"Rv2249c"	"MT2309"	"glpD1"	"glycerol-3-phosphate dehydrogenase"
"Rv2250c"	"MT2310"	"Rv2250c"	"putative transcriptional regulator"
"Rv2251"	"MT2311"	"Rv2251"	"conserved hypothetical protein"
"Rv2252"	"MT2312"	"Rv2252"	"conserved hypothetical protein"
"Rv2253"	"MT2314"	"Rv2253"	"hypothetical protein"
"Rv2254c"	"MT2315"	"Rv2254c"	"hypothetical protein"
"Rv2255c"	NA	"Rv2255c"	"hypothetical protein"
"Rv2256c"	"MT2317"	"Rv2256c"	"conserved hypothetical protein"
"Rv2257c"	"MT2318"	"Rv2257c"	"hypothetical protein"
"Rv2258c"	"MT2319"	"Rv2258c"	"putative transcriptional regulator"
"Rv2259"	NA	"adhE2"	"putative alcohol dehydrogenase (Zn dependent)"
"Rv2260"	"MT2321"	"Rv2260"	"conserved hypothetical protein"
"Rv2261c"	"MT2322"	"Rv2261c"	"apolipoprotein N-acyltransferase-a"
"Rv2262c"	"MT2322"	"Rv2262c"	"apolipoprotein N-acyltransferase-b"
"Rv2263"	"MT2323"	"Rv2263"	"possible oxidoreductase"
"Rv2264c"	"MT2324"	"Rv2264c"	"conserved hypothetical protein"
"Rv2265"	"MT2327"	"Rv2265"	"putative integral membrane protein"
"Rv2266"	"MT2328"	"Rv2266"	"Probable cytochrome P-450"
"Rv2267c"	"MT2329"	"Rv2267c"	"hypothetical protein"
"Rv2268c"	"MT2330"	"Rv2268c"	"Probable cytochrome P-450"
"Rv2269c;Rv2269c"	NA	NA	NA
"Rv2270"	"MT2331"	"lppN"	"possible lipoprotein"
"Rv2271"	NA	"Rv2271"	"hypothetical protein"
"Rv2272"	"MT2333"	"Rv2272"	"conserved hypothetical protein"
"Rv2273"	NA	"Rv2273"	"hypothetical protein"
"Rv2274c;Rv2274c"	NA	NA	NA
"Rv2275"	"MT2335"	"Rv2275"	"hypothetical protein"
"Rv2276"	"MT2336"	"Rv2276"	"Probable cytochrome P-450"
"Rv2277c"	"MT2337"	"Rv2277c"	"possible glycerolphosphodiesterase"
"Rv2278"	NA	"Rv2278"	"possible IS6110 transposase"
"Rv2279"	"MT2881"	"Rv2279"	"possible IS6110 transposase"
"Rv2280"	"MT2338"	"Rv2280"	"similar to D-lactate dehydrogenase"
"Rv2281"	"MT2339"	"pitB"	"phosphate permease"
"Rv2282c"	"MT2340"	"Rv2282c"	"transcriptional regulator (LysR family)"
"Rv2283"	NA	"Rv2283"	"hypothetical protein"
"Rv2284"	"MT2342"	"lipM"	"probable esterase"
"Rv2285"	"MT2343"	"Rv2285"	"conserved hypothetical protein"
"Rv2286c"	"MT2344"	"Rv2286c"	"conserved hypothetical protein"
"Rv2287"	"MT2345"	"yjcE"	"probable Na+/H+ exchanger"
"Rv2288"	"MT2345.1"	"Rv2288"	"hypothetical protein"
"Rv2289"	"MT2346"	"cdh"	"CDP-diacylglycerol phosphatidylhydrolase"
"Rv2290"	"MT2347"	"lppO"	"probable lipoprotein"
"Rv2291"	"MT2348"	"sseB"	"thiosulfate sulfurtransferase"
"Rv2292c"	"MT2349"	"Rv2292c"	"hypothetical protein"
"Rv2293c"	"MT2350"	"Rv2293c"	"hypothetical protein"
"Rv2294"	"MT2351"	"Rv2294"	"aminotransferase"
"Rv2295;Rv2295"	NA	NA	NA
"Rv2296"	"MT2353"	"Rv2296"	"halokane dehalogenase"
"Rv2297"	"MT2354"	"Rv2297"	"hypothetical protein"
"Rv2298"	"MT2355"	"Rv2298"	"conserved hypothetical protein"
"Rv2299c;Rv2299c;Rv2299c;Rv2299c;Rv2299c;Rv2299c;Rv2299c;Rv2299c;Rv2299c;Rv2299c;Rv2299c;Rv2299c;Rv2299c"	NA	NA	NA
"Rv2300c"	"MT2357"	"Rv2300c"	"conserved hypothetical protein"
"Rv2301"	NA	"Rv2301"	"probable cutinase"
"Rv2302"	"MT2359"	"Rv2302"	"conserved hypothetical protein"
"Rv2303c"	"MT2360"	"Rv2303c"	"similar to S. griseus macrotetrolide resistance"
"Rv2304c"	"MT2361"	"Rv2304c"	"hypothetical protein"
"Rv2305"	"MT2362"	"Rv2305"	"hypothetical protein"
"Rv2306c"	"MT2363"	"Rv2306c"	"hypothetical protein"
"Rv2307c"	"MT2364"	"Rv2307c"	"conserved hypothetical protein"
"Rv2308"	"MT2366"	"Rv2308"	"putative transcriptional regulator"
"Rv2309c"	NA	"Rv2309c"	"integrase"
"Rv2310"	"MT2372"	"Rv2310"	"excisionase"
"Rv2311"	"MT2373"	"Rv2311"	"hypothetical protein"
"Rv2312"	NA	"Rv2312"	"hypothetical protein"
"Rv2313c"	"MT2376"	"Rv2313c"	"hypothetical protein"
"Rv2314c"	"MT2377"	"Rv2314c"	"conserved hypothetical protein"
"Rv2315c"	NA	"Rv2315c"	"conserved hypothetical protein"
"Rv2316"	NA	"uspA"	"sugar transport protein"
"Rv2317"	NA	"uspE"	"sugar transport protein"
"Rv2318"	"MT2381"	"uspC"	"sugar transport protein"
"Rv2319c"	NA	"Rv2319c"	"hypothetical protein"
"Rv2320c"	"MT2383"	"rocE"	"arginine/ornithine transporter"
"Rv2321c"	"MT2384.1"	"rocD2"	"ornithine aminotransferase"
"Rv2322c"	"MT2384.1"	"rocD1"	"ornithine aminotransferase"
"Rv2323c"	"MT2385"	"Rv2323c"	"conserved hypothetical protein"
"Rv2324"	NA	"Rv2324"	"transcriptional regulator (Lrp/AsnC family)"
"Rv2325c"	NA	"Rv2325c"	"conserved hypothetical protein"
"Rv2326c"	"MT2388"	"Rv2326c"	"ABC transporter"
"Rv2327"	"MT2389"	"Rv2327"	"conserved hypothetical protein"
"Rv2328"	"MT2390"	"PE"	"PE-family protein"
"Rv2329c"	"MT2391"	"narK1"	"probable nitrite extrusion protein"
"Rv2330c"	"MT2392"	"lppP"	"lipoprotein"
"Rv2331"	"MT2393"	"Rv2331"	"hypothetical protein"
"Rv2332"	"MT2394"	"mez"	"probable malate oxidoreductase"
"Rv2333c"	NA	"Rv2333c"	"probable tetracenomycin C resistance protein"
"Rv2334"	NA	"cysK"	"cysteine synthase A"
"Rv2335"	"MT2398"	"cysE"	"serine acetyltransferase"
"Rv2336"	"MT2399"	"Rv2336"	"hypothetical protein"
"Rv2337c"	"MT2400"	"Rv2337c"	"hypothetical protein"
"Rv2338c"	"MT2401"	"moeW"	"molybdopterin biosynthesis"
"Rv2339"	"MT2402"	"mmpL9"	"conserved large membrane protein"
"Rv2340c"	"MT2404"	"PE"	"PE-family protein"
"Rv2341"	"MT2406"	"lppQ"	"lipoprotein"
"Rv2342"	"MT2407"	"Rv2342"	"hypothetical protein"
"Rv2343c"	"MT2408"	"dnaG"	"DNA primase"
"Rv2344c"	"MT2409"	"dgt"	"probable deoxyguanosine triphosphate hydrolase"
"Rv2345"	"MT2410"	"Rv2345"	"precursor of probable membrane protein"
"Rv2346c"	"MT1842"	"Rv2346c"	"conserved hypothetical protein"
"Rv2347c"	"MT1067"	"Rv2347c"	"conserved hypothetical protein"
"Rv2348c"	"MT2413"	"Rv2348c"	"hypothetical protein"
"Rv2349c"	"MT2414"	"plcC"	"phospholipase C precursor"
"Rv2350c"	"MT2415"	"plcB"	"phospholipase C precursor"
"Rv2351c"	"MT2416"	"plcA"	"phospholipase C precursor"
"Rv2352c"	"MT2419"	"PPE"	"PPE-family protein"
"Rv2353c"	"MT2423"	"PPE"	"PPE-family protein"
"Rv2354"	NA	"Rv2354"	"possible IS6110 transposase"
"Rv2355"	"MT2881"	"Rv2355"	"possible IS6110 transposase"
"Rv2356c"	NA	"PPE"	"PPE-family protein"
"Rv2357c"	"MT2426"	"glyS"	"glycyl-tRNA synthase"
"Rv2358"	"MT2427"	"Rv2358"	"transcriptional regulator (ArsR family)"
"Rv2359"	NA	"furB"	"ferric uptake regulatory protein"
"Rv2360c"	"MT2429"	"Rv2360c"	"hypothetical protein"
"Rv2361c"	"MT2430"	"Rv2361c"	"conserved hypothetical protein"
"Rv2362c"	"MT2431"	"Rv2362c"	"conserved hypothetical protein"
"Rv2363"	"MT2432"	"amiA2"	"putative amidase"
"Rv2364c"	"MT2433"	"bex"	"GTP-binding protein of Era/ThdF family"
"Rv2365c;Rv2365c"	NA	NA	NA
"Rv2366c"	"MT2435"	"Rv2366c"	"conserved hypothetical protein"
"Rv2367c"	"MT2436"	"Rv2367c"	"conserved hypothetical protein"
"Rv2368c"	"MT2437"	"phoH"	"ATP-binding pho regulon component"
"Rv2369c;Rv2369c"	NA	NA	NA
"Rv2370c"	"MT2439"	"Rv2370c"	"conserved hypothetical protein"
"Rv2371"	NA	"PE"	"PE-family protein"
"Rv2372c"	NA	"Rv2372c"	"conserved hypothetical protein"
"Rv2373c"	"MT2442"	"dnaJ2"	"DnaJ homologue"
"Rv2374c"	NA	"hrcA"	"heat-inducible transcription repressor"
"Rv2375"	"MT2444"	"Rv2375"	"hypothetical protein"
"Rv2376c"	NA	"Rv2376c"	"conserved hypothetical protein"
"Rv2377c"	NA	"mbtH"	"mycobactin/exochelin synthesis"
"Rv2378c"	"MT2446"	"mbtG"	"mycobactin/exochelin synthesis (lysine hydroxylase)"
"Rv2379c"	"MT2447"	"mbtF"	"mycobactin/exochelin synthesis (lysine ligation)"
"Rv2380c"	"MT2448"	"mbtE"	"mycobactin/exochelin synthesis (lysine ligation)"
"Rv2381c"	"MT2449"	"mbtD"	"mycobactin/exochelin synthesis (polyketide"
"Rv2382c"	"MT2450"	"mbtC"	"mycobactin/exochelin synthesis"
"Rv2383c"	"MT2451"	"mbtB"	"mycobactin/exochelin synthesis (serine/threonine"
"Rv2384"	"MT2452"	"mbtA"	"mycobactin/exochelin synthesis (salicylate-AMP"
"Rv2385"	NA	"lipK"	"probable acetyl-hydrolase"
"Rv2386c"	NA	"trpE2"	"anthranilate synthase component I"
"Rv2387"	"MT2456"	"Rv2387"	"conserved hypothetical protein"
"Rv2388c"	"MT2457"	"hemN"	"oxygen-independent coproporphyrinogen III oxidase"
"Rv2389c"	"MT2458"	"Rv2389c"	"conserved hypothetical protein"
"Rv2390c"	"MT2459"	"Rv2390c"	"conserved hypothetical protein"
"Rv2391"	"MT2461"	"nirA"	"probable nitrite reductase/sulphite reductase"
"Rv2392"	"MT2462"	"cysH"	"3 -phosphoadenylylsulfate (PAPS) reductase"
"Rv2393"	"MT2463"	"Rv2393"	"conserved hypothetical protein"
"Rv2394"	"MT2464"	"ggtB"	"[gamma] -glutamyltranspeptidase precursor"
"Rv2395"	"MT2465"	"Rv2395"	"probable membrane protein"
"Rv2396"	"MT2467.1"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv2397c"	"MT2468"	"cysA"	"sulphate transport ATP-binding protein"
"Rv2398c"	"MT2469"	"cysW"	"sulphate transport system permease protein"
"Rv2399c"	"MT2470"	"cysT"	"sulphate transport system permease protein"
"Rv2400c"	"MT2471"	"subI"	"sulphate binding precursor"
"Rv2401"	"MT2472"	"Rv2401"	"hypothetical protein"
"Rv2402"	"MT2474"	"Rv2402"	"conserved hypothetical protein"
"Rv2403c"	"MT2475"	"lppR"	"lipoprotein"
"Rv2404c"	"MT2476"	"lepA"	"GTP-binding protein LepA"
"Rv2405;Rv2405"	NA	NA	NA
"Rv2406c"	NA	"Rv2406c"	"conserved hypothetical protein"
"Rv2407"	"MT2479"	"Rv2407"	"conserved hypothetical protein"
"Rv2408"	"MT2481"	"PE"	"PE-family protein"
"Rv2409c"	"MT2482"	"Rv2409c"	"conserved hypothetical protein"
"Rv2410c"	"MT2483"	"Rv2410c"	"conserved hypothetical protein"
"Rv2411c"	NA	"Rv2411c"	"conserved hypothetical protein"
"Rv2412"	NA	"rpsT"	"30S ribosomal protein S20"
"Rv2413c"	"MT2486"	"Rv2413c"	"conserved hypothetical protein"
"Rv2414c"	NA	"Rv2414c"	"conserved hypothetical protein"
"Rv2415c;Rv2415c"	NA	NA	NA
"Rv2416c"	"MT2489"	"Rv2416c"	"conserved hypothetical protein"
"Rv2417c"	"MT2490"	"Rv2417c"	"conserved hypothetical protein"
"Rv2418c"	"MT2491"	"Rv2418c"	"hypothetical protein"
"Rv2419c"	NA	"Rv2419c"	"putative phosphoglycerate mutase"
"Rv2420c"	"MT2493"	"Rv2420c"	"conserved hypothetical protein"
"Rv2421c"	"MT2494"	"Rv2421c"	"conserved hypothetical protein"
"Rv2422"	"MT2495"	"Rv2422"	"hypothetical protein"
"Rv2423"	"MT2496"	"Rv2423"	"hypothetical protein"
"Rv2424c"	"MT2233"	"Rv2424c"	"hypothetical protein"
"Rv2425c"	"MT2498"	"Rv2425c"	"conserved hypothetical protein"
"Rv2426c"	"MT2499"	"Rv2426c"	"conserved hypothetical protein"
"Rv2427c"	"MT2500"	"proA"	"[gamma]-glutamyl phosphate reductase"
"Rv2428"	"MT2503"	"ahpC"	"alkyl hydroperoxide reductase"
"Rv2429"	"MT2504"	"ahpD"	"member of AhpC/TSA family"
"Rv2430c"	"MT2505"	"PPE"	"PPE-family protein"
"Rv2431c"	NA	"PE"	"PE-family protein"
"Rv2432c"	NA	"Rv2432c"	"hypothetical protein"
"Rv2433c"	"MT2507"	"Rv2433c"	"hypothetical protein"
"Rv2434c"	"MT2508"	"Rv2434c"	"probable membrane protein"
"Rv2435c"	"MT2509"	"Rv2435c"	"hypothetical protein"
"Rv2436"	"MT2511"	"rbsK"	"ribokinase"
"Rv2437"	"MT2512"	"Rv2437"	"conserved hypothetical protein"
"Rv2438c"	"MT2513"	"Rv2438c"	"conserved hypothetical protein"
"Rv2439c"	"MT2515"	"proB"	"glutamate 5-kinase"
"Rv2440c"	"MT2516"	"obg"	"Obg GTP-binding protein"
"Rv2441c"	NA	"rpmA"	"50S ribosomal protein L27"
"Rv2442c"	"MT2518"	"rplU"	"50S ribosomal protein L21"
"Rv2443"	"MT2519"	"dctA"	"C4-dicarboxylate transport protein"
"Rv2444c"	"MT2520"	"rne"	"similar at C-term to ribonuclease E"
"Rv2445c"	"MT2521"	"ndkA"	"nucleoside diphosphate kinase"
"Rv2446c"	NA	"Rv2446c"	"hypothetical protein"
"Rv2447c"	NA	"folC"	"folylpolyglutamate synthase"
"Rv2448c"	"MT2524"	"valS"	"valyl-tRNA synthase"
"Rv2449c"	"MT2525"	"Rv2449c"	"conserved hypothetical protein"
"Rv2450c"	"MT2526"	"Rv2450c"	"conserved hypothetical protein"
"Rv2451"	"MT2527"	"Rv2451"	"hypothetical protein"
"Rv2452c"	"MT2527.1"	"Rv2452c"	"hypothetical protein"
"Rv2453c"	"MT2528"	"Rv2453c"	"hypothetical protein"
"Rv2454c"	"MT2529"	"Rv2454c"	"oxidoreductase, beta subunit"
"Rv2455c"	"MT2530"	"Rv2455c"	"probable oxidoreductase alpha subunit"
"Rv2456c"	"MT2531"	"Rv2456c"	"probable transmembrane transport protein"
"Rv2457c"	"MT2532"	"clpX"	"ATP-dependent Clp protease ATP-binding subunit ClpX"
"Rv2458"	"MT2533"	"Rv2458"	"conserved hypothetical protein"
"Rv2459"	"MT2534"	"Rv2459"	"probable drug efflux protein"
"Rv2460c"	"MT2535"	"clpP2"	"ATP-dependent Clp protease proteolytic subunit"
"Rv2461c"	"MT2536"	"clpP"	"ATP-dependent Clp protease proteolytic subunit"
"Rv2462c"	"MT2537"	"tig"	"chaperone protein, similar to trigger factor"
"Rv2463"	"MT2538"	"lipP"	"probable esterase"
"Rv2464c"	"MT2539"	"Rv2464c"	"probable DNA glycosylase, endonuclease VIII"
"Rv2465c"	"MT2540"	"rpi"	"phosphopentose isomerase"
"Rv2466c"	NA	"Rv2466c"	"conserved hypothetical protein"
"Rv2467"	"MT2542"	"pepD"	"probable aminopeptidase"
"Rv2468c"	"MT2543"	"Rv2468c"	"hypothetical protein"
"Rv2469c"	"MT2545"	"Rv2469c"	"conserved hypothetical protein"
